Title,Product Number,Inner Price,Case Price,UPC,Availability,Image Link,Size,Packaging,Description,Features,Category
Artificial Grand Arch Tree 7½ ft - Green,25-0667GR,$995.00 EA,$995.00 EA,745910735160,8 Cases and 0 Inner,https://portofino.azureedge.net/25-0667GR.jpg,7½ ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Triple Ball Boxwood Plant In Pot - 5ft,25-0704,$99.95 EA,$99.95 EA,745910745442,20 Cases and 0 Inner,https://portofino.azureedge.net/25-0704pic.jpg,"13"" x 13' x 60""",1EA/INNER / 1EA/CASE,"A proper English garden would not be complete without the perfection of a topiary.  Available in 2 sizes, 48 or 60 inches tall.  Each size has a 13 inch diameter at the pot. Made of beautifully dense faux boxwood.",,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Grand Heart Tree 11½ ft - White,25-0664WH,$950.00 EA,$950.00 EA,745910734248,6 Cases and 0 Inner,https://portofino.azureedge.net/25-0664WH.jpg,11½ ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Grand Arch Tree 8½ ft - Green,25-0668GR,$895.00 EA,$895.00 EA,745910735177,4 Cases and 0 Inner,https://portofino.azureedge.net/25-0668GR.jpg,8½ ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Grand Arch Tree 10½ ft - Green,25-0661GR,$795.00 EA,$795.00 EA,745910734217,10 Cases and 0 Inner,https://portofino.azureedge.net/25-0661GR.jpg,10½ ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Tree 9½ ft - White,25-0665WH,$725.00 EA,$725.00 EA,745910734255,3 Cases and 0 Inner,https://portofino.azureedge.net/25-0665WH.jpg,9½ ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
"Artificial Tree 117""",25-0533WH,$695.00 EA,$695.00 EA,745910721583,53 Cases and 0 Inner,https://portofino.azureedge.net/25-0533WH.jpg,7ft x 4ft x 10½ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Triple Ball Boxwood Plant In Pot - 4ft,25-0703,$69.00 EA,$69.00 EA,745910745435,21 Cases and 0 Inner,https://portofino.azureedge.net/25-0703pic.jpg,"13"" x 13"" x 48""",1EA/INNER / 1EA/CASE,"A proper English garden would not be complete without the perfection of a topiary.  Available in 2 sizes, 48 or 60 inches tall.  Each size has a 13 inch diameter at the pot. Made of beautifully dense faux boxwood.",,Event Decor > Artificial Flowers and Greenery > Artificial Trees
"Artificial Tree 107""",25-0531WH,$595.00 EA,$595.00 EA,745910721552,33 Cases and 0 Inner,https://portofino.azureedge.net/25-0531WH.jpg,5ft x 8½ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
Artificial Tree 9ft - Pink,25-0662PK,$575.00 EA,$575.00 EA,745910734224,4 Cases and 0 Inner,https://portofino.azureedge.net/25-0662PK.jpg,9 ft,1EA/INNER / 1EA/CASE,,,Event Decor > Artificial Flowers and Greenery > Artificial Trees
