Title,Product Number,Image,Size,Packaging,Inner Price,Case Price,UPC,Availability,Description,Features
Artificial Grand Arch Tree 7½ ft - Green,25-0667GR,https://portofino.azureedge.net/25-0667GR.jpg,7½ ft,1EA/INNER / 1EA/CASE,$995.00 EA,$995.00 EA,745910735160,8 Cases and 0 Inner,,
Artificial Triple Ball Boxwood Plant In Pot - 5ft,25-0704,https://portofino.azureedge.net/25-0704pic.jpg,"13"" x 13' x 60""",1EA/INNER / 1EA/CASE,$99.95 EA,$99.95 EA,745910745442,20 Cases and 0 Inner,"A proper English garden would not be complete without the perfection of a topiary.  Available in 2 sizes, 48 or 60 inches tall.  Each size has a 13 inch diameter at the pot. Made of beautifully dense faux boxwood.",
Artificial Grand Heart Tree 11½ ft - White,25-0664WH,https://portofino.azureedge.net/25-0664WH.jpg,11½ ft,1EA/INNER / 1EA/CASE,$950.00 EA,$950.00 EA,745910734248,6 Cases and 0 Inner,,
Artificial Grand Arch Tree 8½ ft - Green,25-0668GR,https://portofino.azureedge.net/25-0668GR.jpg,8½ ft,1EA/INNER / 1EA/CASE,$895.00 EA,$895.00 EA,745910735177,4 Cases and 0 Inner,,
Artificial Grand Arch Tree 10½ ft - Green,25-0661GR,https://portofino.azureedge.net/25-0661GR.jpg,10½ ft,1EA/INNER / 1EA/CASE,$795.00 EA,$795.00 EA,745910734217,10 Cases and 0 Inner,,
Artificial Tree 9½ ft - White,25-0665WH,https://portofino.azureedge.net/25-0665WH.jpg,9½ ft,1EA/INNER / 1EA/CASE,$725.00 EA,$725.00 EA,745910734255,3 Cases and 0 Inner,,
"Artificial Tree 117""",25-0533WH,https://portofino.azureedge.net/25-0533WH.jpg,7ft x 4ft x 10½ft,1EA/INNER / 1EA/CASE,$695.00 EA,$695.00 EA,745910721583,53 Cases and 0 Inner,,
Artificial Triple Ball Boxwood Plant In Pot - 4ft,25-0703,https://portofino.azureedge.net/25-0703pic.jpg,"13"" x 13"" x 48""",1EA/INNER / 1EA/CASE,$69.00 EA,$69.00 EA,745910745435,21 Cases and 0 Inner,"A proper English garden would not be complete without the perfection of a topiary.  Available in 2 sizes, 48 or 60 inches tall.  Each size has a 13 inch diameter at the pot. Made of beautifully dense faux boxwood.",
"Artificial Tree 107""",25-0531WH,https://portofino.azureedge.net/25-0531WH.jpg,5ft x 8½ft,1EA/INNER / 1EA/CASE,$595.00 EA,$595.00 EA,745910721552,33 Cases and 0 Inner,,
Artificial Tree 9ft - Pink,25-0662PK,https://portofino.azureedge.net/25-0662PK.jpg,9 ft,1EA/INNER / 1EA/CASE,$575.00 EA,$575.00 EA,745910734224,4 Cases and 0 Inner,,
Artificial Tree 9ft - Pink,25-0659PK,https://portofino.azureedge.net/25-0659PK.jpg,9 ft,1EA/INNER / 1EA/CASE,$549.00 EA,$549.00 EA,745910734187,5 Cases and 0 Inner,,
Artificial Tree 9ft - White,25-0659WH,https://portofino.azureedge.net/25-0659WH.jpg,9 ft,1EA/INNER / 1EA/CASE,$549.00 EA,$549.00 EA,745910734194,7 Cases and 0 Inner,,
"Artificial Tree 69""",25-0532PK,https://portofino.azureedge.net/25-0532PK.jpg,"34"" x 34"" x 69""",1EA/INNER / 1EA/CASE,$54.95 EA,$54.95 EA,745910721576,34 Cases and 0 Inner,,
"Artificial Tree 69""",25-0532WH,https://portofino.azureedge.net/25-0532WH.jpg,"34"" x 34"" x 69""",1EA/INNER / 1EA/CASE,$54.95 EA,$54.95 EA,745910721569,12 Cases and 0 Inner,,
Artificial Flower Tree - Pink,25-0529PK,https://portofino.azureedge.net/25-0529PK.jpg,"28"" x 58½""",1EA/INNER / 1EA/CASE,$39.95 EA,$39.95 EA,745910721446,33 Cases and 0 Inner,,
Cherry Blossom Tree - Pink,25-0338PK,https://portofino.azureedge.net/25-0338PK.jpg,13ft x 9ft,1EA/INNER / 1EA/CASE,$325.00 EA,$325.00 EA,745910701523,12 Cases and 0 Inner,"Make a statement! This elegant and oversized Cherry Blossom Tree will have everyone talking. At about 13 ft tall, this tree can be used as a backdrop all on its own WARNING: CHOKING HAZARD item contains small parts. Not for children under 3 years",
Cherry Blossom Tree - White,25-0338WH,https://portofino.azureedge.net/25-0338WH.jpg,13ft x 9ft,1EA/INNER / 1EA/CASE,$325.00 EA,$325.00 EA,745910701516,25 Cases and 0 Inner,"Make a statement! This elegant and oversized Cherry Blossom Tree will have everyone talking. At about 13 ft tall, this tree can be used as a backdrop all on its own WARNING: CHOKING HAZARD item contains small parts. Not for children under 3 years",
"Artificial Tree 72""",25-0530PK,https://portofino.azureedge.net/25-0530PK.jpg,4½ft x 6ft,1EA/INNER / 1EA/CASE,$325.00 EA,$325.00 EA,745910721545,17 Cases and 0 Inner,,
"Artificial Tree 72""",25-0530WH,https://portofino.azureedge.net/25-0530WH.jpg,4½ft x 6ft,1EA/INNER / 1EA/CASE,$325.00 EA,$325.00 EA,745910721538,23 Cases and 0 Inner,,
Artificial Tree 6ft - White,25-0660WH,https://portofino.azureedge.net/25-0660WH.jpg,6 ft,1EA/INNER / 1EA/CASE,$295.00 EA,$295.00 EA,745910734200,18 Cases and 0 Inner,,
Artificial Tree 6ft - White,25-0663WH,https://portofino.azureedge.net/25-0663WH.jpg,6 ft,1EA/INNER / 1EA/CASE,$265.00 EA,$265.00 EA,745910734231,Please contact us for availability.,,
"White Tree 68""",25-0398WH,https://portofino.azureedge.net/25-0398WH.jpg,"58"" x 68""",1EA/INNER / 1EA/CASE,$249.00 EA,$249.00 EA,745910714592,8 Cases and 0 Inner,,
Artificial Rose Gazebo 11 ft - Red,25-0656RD,https://portofino.azureedge.net/25-0656RD.jpg,6½ ft x 6½ ft x 11 ft,1EA/INNER / 1EA/CASE,$2295.00 EA,$2295.00 EA,745910734149,2 Cases and 0 Inner,,
Artificial Rose Gazebo 11 ft - White,25-0656WH,https://portofino.azureedge.net/25-0656WH.jpg,6½ ft x 6½ ft x 11 ft,1EA/INNER / 1EA/CASE,$2295.00 EA,$2295.00 EA,745910734156,3 Cases and 0 Inner,,
Artificial Flower Gazebo 11 ft - White,25-0657WH,https://portofino.azureedge.net/25-0657WH.jpg,6½ ft x 6½ ft x 11 ft,1EA/INNER / 1EA/CASE,$2295.00 EA,$2295.00 EA,745910734163,6 Cases and 0 Inner,,
Artificial Grand Arch Tree 10ft - White,25-0658WH,https://portofino.azureedge.net/25-0658WH.jpg,10 ft x 10 ft,1EA/INNER / 1EA/CASE,$1295.00 EA,$1295.00 EA,745910734170,5 Cases and 0 Inner,,
Artificial Grand Arch Tree 10½ ft - Pink,25-0541PK,https://portofino.azureedge.net/25-0541PKpic.jpg,10½ ft,1EA/INNER / 1EA/CASE,$1295.00 EA,$1295.00 EA,745910724935,7 Cases and 0 Inner,,
Artificial Grand Arch Tree 10½ ft - White,25-0541WH,https://portofino.azureedge.net/25-0541WH.jpg,10½ ft,1EA/INNER / 1EA/CASE,$1295.00 EA,$1295.00 EA,745910734132,6 Cases and 0 Inner,,
Artificial Tree 12ft - White,25-0666WH,https://portofino.azureedge.net/25-0666WH.jpg,12 ft,1EA/INNER / 1EA/CASE,$1095.00 EA,$1095.00 EA,745910734262,3 Cases and 0 Inner,,
Decorative Wire Mesh - 20yds,22-0474,https://portofino.azureedge.net/22-0474.jpg,"40"" X 20yds",6EA/INNER / 6EA/CASE,$6.50 EA,$6.50 EA,745910729015,22 Cases and 0 Inner,,
"Expandable Ivy Lattice Fence 8ft 4""",25-0287,https://portofino.azureedge.net/25-0287.jpg,"8 ft 4"" x 34""",8EA/INNER / 8EA/CASE,$24.95 EA,$24.95 EA,745721060314,39 Cases and 0 Inner,"Great for special events, privacy, hiding unsightly views, enhancing the look of gardens, landscaping, outdoor and indoor décor. Features a realistic UV protected Ivy leaf look attached to an expandable plastic fence.",
Expandable Ivy Lattice Fence with Flowers 8',25-0288,https://portofino.azureedge.net/25-0288.jpg,"8 ft x 25""",8EA/INNER / 8EA/CASE,$23.50 EA,$23.50 EA,745721060321,22 Cases and 0 Inner,"Great for special events, privacy, hiding unsightly views, enhancing the look of gardens, landscaping, outdoor and indoor décor. Features a realistic UV protected Ivy leaf look with flowers attached to an expandable plastic fence.",
"Expandable Ivy Lattice Fence 6' 10""",25-0286,https://portofino.azureedge.net/25-0286.jpg,"6ft 10"" x 16""",12EA/INNER / 12EA/CASE,$14.95 EA,$14.95 EA,745721060307,22 Cases and 0 Inner,"Great for special events, privacy, hiding unsightly views, enhancing the look of gardens, landscaping, outdoor and indoor décor. Features a realistic UV protected Ivy leaf look attached to an expandable plastic fence.",
Decor Reed Fencing,25-0456,https://portofino.azureedge.net/25-0456.jpg,"77"" x 47""",5EA/INNER / 5EA/CASE,$13.50 EA,$13.50 EA,745910717890,8 Cases and 0 Inner,"Create a natural wonderland at the table with this faux grass table runner! Enhance it with your choice of flowers and embellishments, votives and table settings to create a one of a kind setting!",
Flower Stand - Single Branch - Black,22-0444BK,https://portofino.azureedge.net/22-0444BK.jpg,"14"" x 24""",6EA/INNER / 6EA/CASE,$8.95 EA,$8.95 EA,745910717203,39 Cases and 0 Inner,,
Floral Foam Solid Heart Shape,25-0498,https://portofino.azureedge.net/25-0498.jpg,"18½"" x 1¾"" x 19""",12EA/INNER / 12EA/CASE,$6.50 EA,$6.50 EA,745910720999,8 Cases and 0 Inner,,
Floral Foam Solid Wreath Shape,25-0500,https://portofino.azureedge.net/25-0500.jpg,"11½"" x 11½""",24EA/INNER / 24EA/CASE,$5.95 EA,$5.95 EA,745910721019,17 Cases and 0 Inner,,
Floral Foam Flower Bouquet Handle 6pc/bag,25-0496,https://portofino.azureedge.net/25-0496.jpg,"3"" x 7""",30BAG/INNER / 30BAG/CASE,$4.95 EA,$4.50 EA,745910720975,20 Cases and 0 Inner,,
Floral Tape Roll - Dark Green,75-0159DGR,https://portofino.azureedge.net/75-0159DGR.jpg,1.2 CM X 30 YDS,12DZ/INNER / 24DZ/CASE,$3.95 EA,$3.75 EA,745720899335,9 Cases and 0 Inner,Add a finished look to your floral arrangements with this floral tape. These rolls are sure to be an invaluable tool for all your projects.,"['Stretchy', '20 yards per roll', 'Dark Green', '12 pieces/ pkge']"
Plastic Floral Pick Card Holder 100pc/bag,25-0495,https://portofino.azureedge.net/25-0495.jpg,"9¼""",12BAG/INNER / 48BAG/CASE,$3.15 EA,$2.85 EA,745910720968,14 Cases and 2 Inners,,
Floral Scissor,25-0571,https://portofino.azureedge.net/25-0571.jpg,"7½""",72EA/INNER / 72EA/CASE,$2.95 EA,$2.50 EA,745910728933,26 Cases and 0 Inner,,
Floral Foam Solid Crown Shape,25-0499,https://portofino.azureedge.net/25-0499.jpg,"32½"" x 1¾"" x 18¾""",4EA/INNER / 4EA/CASE,$12.95 EA,$12.95 EA,745910721002,40 Cases and 0 Inner,,
Flower Stand - 3 Branch - Black,22-0443BK,https://portofino.azureedge.net/22-0443BK.jpg,"14"" x 24""",6EA/INNER / 6EA/CASE,$10.95 EA,$10.95 EA,745910717197,55 Cases and 0 Inner,,
Premium Floral Foam Solid Block,25-0570,https://portofino.azureedge.net/25-0570.jpg,"8"" x 3½"" x 2½""",20EA/INNER / 20EA/CASE,$0.95 EA,$0.95 EA,745910727707,877 Cases and 0 Inner,,
Artificial Flower - White,25-0445WH,https://portofino.azureedge.net/25-0445WH.jpg,"65½""",9EA/INNER / 54EA/CASE,$8.50 EA,$7.95 EA,745910717753,1 Case and 4 Inners,,
Artificial Flower - White,25-0446WH,https://portofino.azureedge.net/25-0446WH.jpg,"92""",12EA/INNER / 72EA/CASE,$8.50 EA,$7.95 EA,745910717746,2 Cases and 1 Inner,,
Artificial Flower - Ivory,25-0449IV,https://portofino.azureedge.net/25-0449IV.jpg,"68""",24EA/INNER / 144EA/CASE,$6.50 EA,$5.95 EA,745910717807,3 Cases and 2 Inners,,
Artificial Flower - Ivory Pink,25-0449IVPK,https://portofino.azureedge.net/25-0449IVPK.jpg,"68""",24EA/INNER / 144EA/CASE,$6.50 EA,$5.95 EA,745910718316,7 Cases and 2 Inners,,
Artificial Flower - White,25-0449WH,https://portofino.azureedge.net/25-0449WH.jpg,"68""",24EA/INNER / 144EA/CASE,$6.50 EA,$5.95 EA,745910717791,4 Cases and 0 Inner,,
Artificial Flower - Hot Pink,25-0449HP,https://portofino.azureedge.net/25-0449HP.jpg,"68""",24EA/INNER / 144EA/CASE,$6.50 EA,$5.95 EA,745910717814,Please contact us for availability.,,
Artificial Flower - Ivory,25-0447IV,https://portofino.azureedge.net/25-0447IV.jpg,"65""",24EA/INNER / 144EA/CASE,$5.50 EA,$4.95 EA,745910717777,1 Case and 4 Inners,,
Artificial Flower - White,25-0447WH,https://portofino.azureedge.net/25-0447WH.jpg,"65""",24EA/INNER / 144EA/CASE,$5.50 EA,$4.95 EA,745910717760,0 Case and 4 Inners,,
Artificial Flower Spray,25-0402IV,https://portofino.azureedge.net/25-0402IV.jpg,"45""",24EA/INNER / 72EA/CASE,$4.95 EA,$4.50 EA,745910714929,12 Cases and 2 Inners,,
Artificial Flower Spray,25-0402WH,https://portofino.azureedge.net/25-0402WH.jpg,"45""",24EA/INNER / 72EA/CASE,$4.95 EA,$4.50 EA,745910714912,11 Cases and 0 Inner,,
Artificial Hydrangea Flower Garland,25-0314WH,https://portofino.azureedge.net/25-0314WH.jpg,"86""",24EA/INNER / 72EA/CASE,$4.50 EA,$3.95 EA,745721064954,13 Cases and 0 Inner,,"['Made of plastic, wire and polyester', 'White']"
Artificial Flower Spray,25-0416WH,https://portofino.azureedge.net/25-0416WH.jpg,"45""",12EA/INNER / 36EA/CASE,$4.25 EA,$3.95 EA,745910715377,3 Cases and 0 Inner,,
Artificial Flower Garland,25-0417BH,https://portofino.azureedge.net/25-0417BH.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715452,0 Case and 2 Inners,,
Artificial Flower Garland,25-0417BL,https://portofino.azureedge.net/25-0417BL.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715483,4 Cases and 1 Inner,,
Artificial Flower Garland,25-0417LA,https://portofino.azureedge.net/25-0417LA.jpg,"5"" x 68""",12EA/INNER / 36EA/CASE,$3.75 EA,$3.50 EA,745910715469,Please contact us for availability.,,
